bitcoin_id,bitcoin_supply,market_cap_in_dollars,msupply,bitcoin_type,bitcoin_name_id,percent_change_in_one_hr,percent_change_in_day,percent_change_in_one_week,bitcoin_price,bitcoin_price_usd,bitcoin_rank,bitcoin_symbol
90,19006877,7.59591E+11,21000000,Bitcoin,bitcoin,0.27,-2.89,-8.67,1,39964.03,1,BTC
80,120307120,3.63754E+11,,Ethereum,ethereum,0.26,-3.03,-7.12,0.075552,3023.55,2,ETH
518,73578322706,73809927323,,Tether,tether,0.08,0.3,0.21,0.000025,1,3,USDT
2710,166801148,69250832187,200000000,Binance Coin,binance-coin,0.14,-2.01,-4.78,0.010374,415.17,4,BNB
33285,38819451751,38830549402,,USD Coin,usd-coin,0.08,0.06,0.03,0.000025,1,5,USDC
48537,390099861,31873191003,21000000,Terra,terra-luna,0.04,-7.01,-23.36,0.002042,81.71,6,LUNA
58,42909539227,31297742204,1E+11,XRP,ripple,0.64,0.92,-7.31,0.000018,0.729389,7,XRP
257,33313246914,31101958115,45000000000,Cardano,cardano,0.37,-4.03,-14.53,0.000023,0.933621,8,ADA
48543,305506950,30840678332,21000000,Solana,solana,0.28,-3.89,-14.2,0.002523,100.95,9,SOL
2,1.33941E+11,19264410708,,Dogecoin,dogecoin,0.74,2.78,-2.27,0.000004,0.143827,10,DOGE
44883,223953589,17234969076,720000000,Avalanche,avalanche,0.19,-4.03,-10.22,0.001923,76.96,11,AVAX
45219,897657920,16113580754,1000000000,Polkadot,polkadot,0.8,-1.15,-12.28,0.000449,17.95,12,DOT
45088,5.49053E+14,14176440494,,Shiba Inu,shiba-inu,0.34,-3.78,2.73,6.45E-10,0.000026,13,SHIB
48591,13578169256,13578535537,,Binance USD,binance-usd,0.04,0.06,-0.01,0.000025,1,14,BUSD
33422,253975,10159027911,,Wrapped Bitcoin,wrapped-bitcoin,0.27,-2.79,-8.62,0.999516,40000.11,15,WBTC
48563,567618812,9310617054,1000000000,NEAR Protocol,near-protocol,0.73,-2.76,5.9,0.00041,16.4,16,NEAR
45909,63540139,8584307343,,Phantasma Energy,phantasma-energy,,-3.07,13774342.57,0.003367,135.1,17,KCAL
48571,7631741604,7647558218,,TerraUSD,terrausd,0.02,0.09,0.23,0.000025,1,18,UST
1,70030506,7519151974,84000000,Litecoin,litecoin,0.07,-2.9,-6.39,0.002683,107.37,19,LTC
2321,19031581,6414715478,21000000,Bitcoin Cash,bitcoin-cash,0.12,-1.52,-0.44,0.008422,337.06,20,BCH
2751,467009553,6388889612,1000000000,ChainLink,chainlink,0.37,-3.36,-13.41,0.000342,13.68,21,LINK
47305,627904519,5958966369,1000000000,Uniswap,uniswap,0.22,-1.54,-7.25,0.000237,9.49,22,UNI
48547,139460202,5822685193,352170015,FTX Token,ftx-token,0.19,-2.49,-9.22,0.001043,41.75,23,FTT
33833,953954130,5483247846,,UNUS SED LEO,unus-sed-leo,0.03,0.93,-1.85,0.000144,5.75,24,LEO
33830,225488987,5406840927,,Cosmos,cosmos,0.37,-2.81,-13.12,0.000599,23.98,25,ATOM
118,131348784,4871622701,210700000,Ethereum Classic,ethereum-classic,0.02,-3.96,-13.21,0.000927,37.09,26,ETC
89,24760849207,4802122650,1.04304E+11,Stellar,stellar,0.17,-1.11,-9.29,0.000005,0.19394,27,XLM
34406,6286785541,4572050244,,Algorand,algorand,0.33,-2.38,-8.79,0.000018,0.727248,28,ALGO
2713,71659657369,4312519681,,TRON,tron,0.11,-2.11,-6.43,0.000002,0.060181,29,TRX
28,18038893,4146818889,,Monero,monero,-0.27,-2.82,3.34,0.005744,229.88,30,XMR
2741,64315576989,3948726191,86712634466,VeChain,vechain,0.44,-0.09,-12.49,0.000002,0.061396,31,VET
258,1824609834,3872373777,,Decentraland,decentraland,0.13,-3.58,-12.41,0.000053,2.12,32,MANA
33819,9280821918,3817730271,,Crypto.com Chain,crypto-com-chain,0.33,-2.66,-8.56,0.00001,0.411357,33,CRO
32360,1000000000,3037997097,,Theta Token,theta-token,0.31,-4.04,-12.93,0.000076,3.04,34,THETA
33536,2175190262,2991067966,,Matic Network,matic-network,0.24,-3.08,-8.69,0.000034,1.38,35,MATIC
33644,2545006273,2938775846,3175000000,Fantom,fantom,0.11,-3.12,-14.87,0.000029,1.15,36,FTM
46575,60907500,2855261470,270000000,Axie Infinity,axie-infinity,0.12,-3.15,-15.61,0.001171,46.88,37,AXS
3682,868937218,2693890411,,Tezos,tezos,-0.22,-2.24,-8.44,0.000077,3.1,38,XTZ
45161,913246119,2542017838,3000000000,The Sandbox,the-sandbox,-0.1,-2.94,-9.95,0.00007,2.78,39,SAND
42531,2527809506,2531629346,,Klaytn,klaytn,0.21,-2.29,-9.41,0.000025,1,40,KLAY
32607,130032829,2434984834,2000000000,Filecoin,filecoin,0.06,-3.41,-17.14,0.000468,18.73,41,FIL
46018,13398608,2309430595,16000000,Aave,aave,-0.4,-3.09,-16.26,0.004307,172.36,42,AAVE
113,106842988,2272390159,106176592,Waves,waves,0.57,-2.13,-25.35,0.000531,21.27,43,WAVES
2679,972722633,2247438763,1006245120,EOS,eos,0.21,-1.9,-8.26,0.000058,2.31,44,EOS
36447,258210215,2158623713,500000000,THORChain,thorchain,-0.25,-3.27,-13.3,0.000209,8.36,45,RUNE
45467,13508333,2099741101,,Elrond eGold,elrond-egold,0.25,-2.51,-9.95,0.003884,155.44,46,EGLD
134,14130375,2040593600,21000000,Zcash,zcash,-0.38,-5.01,-12.66,0.003609,144.41,47,ZEC
45985,245654140,1953153517,,PancakeSwap,pancakeswap,0.31,-3.99,-10.96,0.000199,7.95,48,CAKE
48555,9633530220,1891068609,50000000000,Hedera Hashgraph,hedera-hashgraph,0.38,-3.34,-10.9,0.000005,0.196301,49,HBAR
12377,989630,1882457942,1000000,Maker,maker,-0.64,-1.37,-8.5,0.047531,1902.18,50,MKR
447,2779530283,1841826550,2779530283,IOTA,iota,0.25,-2.57,-13.32,0.000017,0.662639,51,MIOTA
48589,314343134,1825392455,,Flow,flow,0.3,-1.64,-11.94,0.000145,5.81,52,FLOW
2750,88745681,1736623666,,KuCoin Shares,kucoin-shares,0.23,-0.99,-2.02,0.000489,19.57,53,KCS
48561,4715735200,1715925058,10057044431,The Graph,the-graph,0.29,-5.17,-15.25,0.000009,0.363872,54,GRT
